n	c	k	action	time_micros
20	10	3	PUT	1756
20	10	3	PUT	1593
20	10	3	GET	1737
20	10	3	PUT	1147
20	10	3	PUT	5421
20	10	3	PUT	7850
20	10	3	PUT	9231
20	10	3	PUT	5431
20	10	3	PUT	9637
20	10	3	GET	1913
20	10	3	GET	1929
20	10	3	PUT	11564
20	10	3	GET	9280
20	10	3	GET	1126
20	10	3	PUT	15529
20	10	3	PUT	12488
20	10	3	PUT	4865
20	10	3	PUT	3363
20	10	3	GET	10850
20	10	3	PUT	3379
20	10	3	PUT	371
20	10	3	GET	2134
20	10	3	GET	4901
20	10	3	GET	2104
20	10	3	GET	5618
20	10	3	GET	3951
20	10	3	PUT	5887
20	10	3	PUT	2105
20	10	3	GET	7125
20	10	3	GET	4991
20	10	3	PUT	1688
20	10	3	PUT	3656
20	10	3	GET	628
20	10	3	GET	2530
20	10	3	PUT	5314
20	10	3	PUT	496
20	10	3	PUT	7085
20	10	3	GET	765
20	10	3	GET	640
20	10	3	PUT	3448
20	10	3	GET	2023
20	10	3	GET	5085
20	10	3	GET	4371
20	10	3	PUT	878
20	10	3	PUT	4712
20	10	3	GET	4289
20	10	3	GET	4443
20	10	3	GET	4753
20	10	3	GET	1001629
20	10	3	GET	1001141
20	10	3	PUT	3196
20	10	3	GET	499
20	10	3	PUT	11257
20	10	3	PUT	8188
20	10	3	GET	3434
20	10	3	GET	10452
20	10	3	PUT	549
20	10	3	GET	2198
20	15	3	GET	300
20	15	3	PUT	410
20	15	3	GET	312
20	15	3	PUT	827
20	15	3	PUT	2441
20	15	3	PUT	2098
20	15	3	GET	185
20	15	3	PUT	707
20	15	3	PUT	3561
20	15	3	GET	2844
20	15	3	GET	1512
20	15	3	PUT	4956
20	15	3	PUT	4375
20	15	3	PUT	1108
20	15	3	PUT	1357
20	15	3	GET	502
20	15	3	GET	545
20	15	3	PUT	3535
20	15	3	GET	471
20	15	3	PUT	5714
20	15	3	GET	6199
20	15	3	PUT	3150
20	15	3	PUT	8981
20	15	3	PUT	9015
20	15	3	PUT	9018
20	15	3	PUT	8883
20	15	3	GET	1255
20	15	3	GET	5483
20	15	3	GET	5971
20	15	3	PUT	979
20	15	3	GET	8811
20	15	3	PUT	9953
20	15	3	GET	273
20	15	3	PUT	9418
20	15	3	GET	7385
20	15	3	GET	12694
20	15	3	GET	265
20	15	3	GET	7424
20	15	3	PUT	9144
20	15	3	GET	5975
20	15	3	PUT	6384
20	15	3	PUT	6134
20	15	3	GET	10461
20	15	3	GET	8849
20	15	3	GET	617
20	15	3	PUT	7589
20	15	3	PUT	678
20	15	3	GET	16634
20	15	3	GET	1502
20	15	3	PUT	3442
20	15	3	PUT	8588
20	15	3	GET	10577
20	15	3	PUT	3702
20	15	3	PUT	5113
20	15	3	PUT	3902
20	15	3	GET	6397
20	15	3	GET	5158
20	15	3	GET	3777
20	15	3	GET	4996
20	15	3	PUT	660
20	15	3	PUT	5288
20	15	3	GET	423
20	15	3	PUT	8089
20	15	3	GET	3492
20	15	3	PUT	8059
20	15	3	PUT	2417
20	15	3	GET	6562
20	15	3	PUT	6841
20	15	3	PUT	4321
20	15	3	GET	284
20	15	3	GET	3565
20	15	3	GET	5764
20	15	3	GET	4537
20	15	3	PUT	876
20	15	3	GET	6297
20	15	3	PUT	4982
20	15	3	GET	4553
20	15	3	GET	1338
20	15	3	GET	4516
20	15	3	GET	4213
20	15	3	PUT	4324
20	15	3	PUT	3475
20	15	3	GET	3901
20	15	3	PUT	3550
20	15	3	GET	129
20	15	3	GET	3498
20	15	3	GET	3696
20	20	3	PUT	3506
20	20	3	PUT	2021
20	20	3	PUT	9136
20	20	3	PUT	6658
20	20	3	PUT	10865
20	20	3	PUT	8708
20	20	3	PUT	9356
20	20	3	PUT	6506
20	20	3	GET	2597
20	20	3	PUT	8552
20	20	3	PUT	10489
20	20	3	PUT	14311
20	20	3	GET	978
20	20	3	PUT	16567
20	20	3	PUT	16790
20	20	3	GET	6155
20	20	3	PUT	14706
20	20	3	GET	6164
20	20	3	GET	14596
20	20	3	PUT	17847
20	20	3	PUT	4655
20	20	3	PUT	19375
20	20	3	GET	802
20	20	3	PUT	20413
20	20	3	PUT	2543
20	20	3	GET	14201
20	20	3	GET	2401
20	20	3	PUT	800
20	20	3	GET	8259
20	20	3	PUT	22582
20	20	3	GET	12325
20	20	3	GET	11474
20	20	3	GET	15484
20	20	3	PUT	19347
20	20	3	PUT	7296
20	20	3	GET	8677
20	20	3	GET	712
20	20	3	PUT	21361
20	20	3	PUT	3785
20	20	3	GET	9257
20	20	3	GET	2392
20	20	3	PUT	6510
20	20	3	PUT	9343
20	20	3	GET	15821
20	20	3	PUT	4046
20	20	3	PUT	15868
20	20	3	GET	2397
20	20	3	PUT	9878
20	20	3	PUT	993
20	20	3	GET	285
20	20	3	PUT	870
20	20	3	GET	10121
20	20	3	PUT	5667
20	20	3	PUT	8429
20	20	3	GET	4815
20	20	3	GET	10744
20	20	3	GET	17021
20	20	3	GET	6594
20	20	3	PUT	11305
20	20	3	GET	14016
20	20	3	PUT	1462
20	20	3	GET	15721
20	20	3	GET	919
20	20	3	GET	7634
20	20	3	GET	6955
20	20	3	GET	6448
20	20	3	GET	17972
20	20	3	PUT	9325
20	20	3	PUT	12551
20	20	3	PUT	11234
20	20	3	PUT	928
20	20	3	GET	12577
20	20	3	PUT	3986
20	20	3	GET	553
20	20	3	PUT	13217
20	20	3	PUT	5396
20	20	3	GET	947
20	20	3	GET	4847
20	20	3	PUT	3170
20	20	3	PUT	1031
20	20	3	GET	2433
20	20	3	GET	12402
20	20	3	PUT	723
20	20	3	GET	410
20	20	3	PUT	302
20	20	3	PUT	588
20	20	3	PUT	4522
20	20	3	GET	7922
20	20	3	GET	2209
20	20	3	PUT	5181
20	20	3	GET	8921
20	20	3	GET	1430
20	20	3	PUT	9808
20	20	3	PUT	10961
20	20	3	GET	6730
20	20	3	GET	4536
20	20	3	PUT	6330
20	20	3	GET	5428
20	20	3	PUT	3895
20	20	3	PUT	4886
20	20	3	GET	1776
20	20	3	PUT	7121
20	20	3	GET	5299
20	20	3	PUT	7868
20	20	3	GET	1447
20	20	3	PUT	3254
20	20	3	GET	8723
20	20	3	GET	8125
20	20	3	GET	2928
20	20	3	GET	3671
20	20	3	PUT	1804
20	20	3	GET	5955
20	20	3	GET	5067
20	20	3	GET	3107
20	20	3	GET	4024
20	20	3	GET	2310
20	20	3	GET	1000390
20	20	3	GET	1001290
20	20	3	PUT	1965
20	20	3	GET	768
20	25	3	PUT	841
20	25	3	PUT	2122
20	25	3	PUT	3572
20	25	3	GET	2761
20	25	3	PUT	1711
20	25	3	PUT	2210
20	25	3	PUT	6488
20	25	3	PUT	3272
20	25	3	PUT	3050
20	25	3	GET	2463
20	25	3	GET	1240
20	25	3	PUT	8418
20	25	3	GET	6804
20	25	3	PUT	3587
20	25	3	GET	4079
20	25	3	PUT	7637
20	25	3	PUT	4053
20	25	3	PUT	12231
20	25	3	PUT	12536
20	25	3	GET	7730
20	25	3	GET	403
20	25	3	PUT	14203
20	25	3	PUT	5816
20	25	3	PUT	13629
20	25	3	GET	5220
20	25	3	PUT	17372
20	25	3	GET	9382
20	25	3	PUT	4486
20	25	3	GET	1011
20	25	3	PUT	18690
20	25	3	GET	10041
20	25	3	GET	4546
20	25	3	PUT	19475
20	25	3	PUT	20234
20	25	3	PUT	20009
20	25	3	PUT	1931
20	25	3	GET	612
20	25	3	PUT	11424
20	25	3	PUT	21626
20	25	3	PUT	4514
20	25	3	PUT	17339
20	25	3	PUT	19787
20	25	3	GET	1010
20	25	3	GET	10444
20	25	3	GET	3559
20	25	3	PUT	6791
20	25	3	PUT	799
20	25	3	PUT	3242
20	25	3	PUT	24117
20	25	3	GET	1001
20	25	3	PUT	5867
20	25	3	GET	18820
20	25	3	GET	21023
20	25	3	GET	7756
20	25	3	PUT	2590
20	25	3	PUT	26459
20	25	3	PUT	25396
20	25	3	GET	2962
20	25	3	PUT	1761
20	25	3	GET	4966
20	25	3	GET	2574
20	25	3	GET	9134
20	25	3	GET	17238
20	25	3	PUT	1034
20	25	3	GET	4073
20	25	3	PUT	21189
20	25	3	PUT	16030
20	25	3	GET	529
20	25	3	PUT	1818
20	25	3	GET	1679
20	25	3	PUT	6865
20	25	3	PUT	11890
20	25	3	GET	324
20	25	3	GET	1651
20	25	3	PUT	2839
20	25	3	PUT	3890
20	25	3	GET	9412
20	25	3	GET	9889
20	25	3	GET	12548
20	25	3	GET	10978
20	25	3	PUT	8165
20	25	3	PUT	5654
20	25	3	PUT	1275
20	25	3	GET	14575
20	25	3	GET	9334
20	25	3	GET	4051
20	25	3	PUT	10073
20	25	3	GET	3374
20	25	3	GET	9382
20	25	3	PUT	11979
20	25	3	GET	12523
20	25	3	GET	10678
20	25	3	PUT	809
20	25	3	GET	411
20	25	3	GET	11496
20	25	3	GET	4575
20	25	3	GET	4649
20	25	3	PUT	7643
20	25	3	GET	3351
20	25	3	PUT	1086
20	25	3	PUT	2603
20	25	3	GET	5967
20	25	3	PUT	7183
20	25	3	PUT	10477
20	25	3	GET	10231
20	25	3	PUT	8373
20	25	3	PUT	2559
20	25	3	GET	603
20	25	3	GET	10699
20	25	3	GET	1288
20	25	3	PUT	6281
20	25	3	GET	1695
20	25	3	PUT	9385
20	25	3	PUT	4818
20	25	3	GET	489
20	25	3	PUT	1335
20	25	3	GET	2032
20	25	3	GET	2350
20	25	3	GET	6324
20	25	3	GET	3947
20	25	3	GET	1072
20	25	3	GET	1882
20	25	3	PUT	3344
20	25	3	GET	2569
20	25	3	GET	6028
20	25	3	PUT	7161
20	25	3	PUT	5264
20	25	3	PUT	2344
20	25	3	PUT	6328
20	25	3	GET	2350
20	25	3	PUT	4068
20	25	3	PUT	4995
20	25	3	PUT	3096
20	25	3	GET	3080
20	25	3	GET	3074
20	25	3	GET	891
20	25	3	GET	2412
20	25	3	GET	3000
20	25	3	GET	3957
20	25	3	GET	3371
20	25	3	GET	1003442
20	25	3	GET	1003636
20	25	3	PUT	4247
20	25	3	GET	1003
20	25	3	PUT	7342
20	25	3	PUT	5614
20	25	3	GET	4522
20	25	3	GET	2913
20	30	3	PUT	1035
20	30	3	GET	137
20	30	3	PUT	1311
20	30	3	PUT	1742
20	30	3	PUT	2102
20	30	3	PUT	1438
20	30	3	GET	497
20	30	3	PUT	2482
20	30	3	PUT	2611
20	30	3	PUT	1496
20	30	3	PUT	464
20	30	3	GET	587
20	30	3	PUT	973
20	30	3	GET	2430
20	30	3	PUT	3661
20	30	3	GET	548
20	30	3	PUT	1438
20	30	3	PUT	4315
20	30	3	GET	3060
20	30	3	PUT	3253
20	30	3	PUT	2371
20	30	3	PUT	773
