n	c	k	action	time_micros
10	50	3	PUT	1121
10	50	3	PUT	1623
10	50	3	GET	717
10	50	3	PUT	1421
10	50	3	PUT	2608
10	50	3	PUT	3544
10	50	3	PUT	2617
10	50	3	GET	1128
10	50	3	PUT	7000
10	50	3	PUT	2502
10	50	3	PUT	10763
10	50	3	GET	3282
10	50	3	PUT	3366
10	50	3	GET	3746
10	50	3	PUT	1625
10	50	3	PUT	2230
10	50	3	GET	12126
10	50	3	PUT	8952
10	50	3	PUT	4413
10	50	3	GET	12494
10	50	3	GET	4436
10	50	3	GET	4340
10	50	3	PUT	4537
10	50	3	PUT	6925
10	50	3	PUT	10357
10	50	3	PUT	2435
10	50	3	GET	4684
10	50	3	PUT	8252
10	50	3	PUT	2663
10	50	3	GET	1341
10	50	3	PUT	3726
10	50	3	PUT	6897
10	50	3	PUT	9660
10	50	3	GET	7320
10	50	3	PUT	6751
10	50	3	PUT	20120
10	50	3	GET	5806
10	50	3	PUT	9593
10	50	3	PUT	17576
10	50	3	GET	5778
10	50	3	GET	1654
10	50	3	PUT	5002
10	50	3	PUT	2025
10	50	3	GET	1685
10	50	3	GET	19258
10	50	3	PUT	5975
10	50	3	PUT	2685
10	50	3	GET	5496
10	50	3	GET	20266
10	50	3	GET	3304
10	50	3	GET	3004
10	50	3	GET	14590
10	50	3	GET	2782
10	50	3	PUT	4589
10	50	3	PUT	10097
10	50	3	PUT	11124
10	50	3	GET	2930
10	50	3	PUT	5701
10	50	3	GET	3035
10	50	3	GET	18824
10	50	3	PUT	3524
10	50	3	PUT	29442
10	50	3	GET	9983
10	50	3	GET	479
10	50	3	PUT	12355
10	50	3	GET	25993
10	50	3	PUT	21343
10	50	3	PUT	7347
10	50	3	GET	11836
10	50	3	PUT	22675
10	50	3	PUT	4862
10	50	3	PUT	983
10	50	3	PUT	976
10	50	3	PUT	20623
10	50	3	PUT	17265
10	50	3	PUT	9344
10	50	3	PUT	15308
10	50	3	GET	1360
10	50	3	PUT	11851
10	50	3	GET	334
10	50	3	PUT	1729
10	50	3	GET	856
10	50	3	GET	1334
10	50	3	PUT	19774
10	50	3	PUT	1240
10	50	3	PUT	24652
10	50	3	PUT	1107
10	50	3	GET	2060
10	50	3	PUT	19198
10	50	3	PUT	9102
10	50	3	GET	2593
10	50	3	PUT	15879
10	50	3	PUT	27246
10	50	3	PUT	21022
10	50	3	PUT	20657
10	50	3	GET	3140
10	50	3	PUT	3690
10	50	3	PUT	31184
10	50	3	GET	12578
10	50	3	GET	13003
10	50	3	PUT	16822
10	50	3	GET	1855
10	50	3	GET	972
10	50	3	GET	13987
10	50	3	PUT	10888
10	50	3	PUT	22447
10	50	3	GET	1844
10	50	3	GET	24044
10	50	3	PUT	17913
10	50	3	GET	2509
10	50	3	PUT	4807
10	50	3	PUT	24122
10	50	3	PUT	13625
10	50	3	PUT	1630
10	50	3	GET	4982
10	50	3	PUT	2680
10	50	3	PUT	23424
10	50	3	GET	260
10	50	3	GET	1348
10	50	3	GET	3795
10	50	3	GET	4969
10	50	3	PUT	14520
10	50	3	PUT	315
10	50	3	GET	2033
10	50	3	PUT	2490
10	50	3	PUT	7380
10	50	3	GET	704
10	50	3	GET	3258
10	50	3	PUT	3830
10	50	3	PUT	3662
10	50	3	GET	6059
10	50	3	GET	5992
10	50	3	GET	2655
10	50	3	PUT	1388
10	50	3	GET	20063
10	50	3	PUT	1165
10	50	3	PUT	3930
10	50	3	PUT	6277
10	50	3	PUT	710
10	50	3	GET	8015
10	50	3	PUT	25511
10	50	3	GET	485
10	50	3	GET	8928
10	50	3	GET	9053
10	50	3	PUT	5377
10	50	3	GET	6256
10	50	3	GET	2917
10	50	3	PUT	8694
10	50	3	PUT	3801
10	50	3	PUT	4984
10	50	3	PUT	854
10	50	3	GET	3582
10	50	3	GET	8172
10	50	3	PUT	4549
10	50	3	PUT	8878
10	50	3	GET	5563
10	50	3	GET	2888
10	50	3	GET	4005
10	50	3	GET	6964
10	50	3	GET	7873
10	50	3	GET	1370
10	50	3	GET	3599
10	50	3	PUT	1483
10	50	3	PUT	4686
