VALS	10	50	3
PUT	1404PUT	
PUT	1121
PUT	1623
PUT	1541PUT	
1209
2506
GET	717
PUT	1421
PUT	2608
PUT	3544
PUT	2617
GET	1128
PUT	7000
PUT	2502
PUT	10763
GET	3282
PUT	3366
GET	3746
PUT	1625
PUT	2230
PUT	PUT	19995533

GET	12126
PUT	8952
PUT	4413
GET	12494
GET	4436
GET	4340
PUT	4537
PUT	6925
PUT	10357
PUT	2435
GET	4684
PUT	8252
PUT	2663
GET	1341
PUT	3726
PUT	6897
PUT	9660
GET	7320
PUT	6751
PUT	20120
GET	5806
PUT	9593
PUT	17576
GET	5778
GET	1654
PUT	5002
PUT	2025
GET	1685
GET	19258
PUT	5975
PUT	2685
GET	5496
GET	20266
GET	3304
GET	3004
GET	14590
GET	2782
PUT	4589
PUT	10097
PUT	11124
GET	2930
PUT	5701
GET	3035
GET	18824
PUT	3524
PUT	29442
GET	9983
GET	479
PUT	12355
GET	25993
PUT	21343
PUT	7347
GET	11836
PUT	22675
PUT	4862
PUT	983
PUT	976
PUT	20623
PUT	17265
PUT	9344
PUT	15308
GET	1360
PUT	11851
GET	334
PUT	1729
GET	856
GET	1334
PUT	19774
PUT	1240
PUT	24652
PUT	1107
GET	2060
PUT	19198
PUT	9102
GET	2593
PUT	15879
PUT	27246
PUT	21022
PUT	20657
GET	3140
PUT	3690
PUT	31184
GET	12578
GET	13003
PUT	16822
GET	1855
GET	972
GET	13987
PUT	10888
PUT	22447
GET	1844
GET	24044
PUT	17913
GET	2509
PUT	4807
PUT	24122
PUT	13625
PUT	1630
GET	4982
PUT	2680
PUT	23424
GET	260
GET	1348
GET	3795
GET	4969
PUT	14520
PUT	315
GET	2033
PUT	2490
PUT	7380
GET	704
GET	3258
PUT	3830
PUT	3662
GET	6059
GET	5992
GET	2655
PUT	1388
GET	20063
PUT	1165
PUT	3930
PUT	6277
PUT	710
GET	8015
PUT	25511
GET	485
GET	8928
GET	9053
PUT	5377
GET	6256
GET	2917
PUT	8694
PUT	3801
PUT	4984
PUT	854
GET	3582
GET	8172
PUT	4549
PUT	8878
GET	5563
GET	2888
GET	4005
GET	6964
GET	7873
GET	1370
GET	3599
PUT	1483
PUT	4686
PUT	1444
PUT	2462
GET	101
PUT	9223
GET	1060
PUT	4670
PUT	2082
PUT	2076
GET	6318
GET	3780
PUT	2603
GET	776
GET	5579
GET	3904
GET	5525
PUT	5277
GET	1093
PUT	7192
PUT	1075
PUT	7269
PUT	6041
PUT	6629
GET	2761
GET	5690
GET	5182
GET	3734
GET	1334
PUT	2479
PUT	3307
GET	261
GET	3319
PUT	5799
GET	753
PUT	3335
GET	3198
PUT	1556
PUT	1952
GET	2419
GET	2290
GET	1076
PUT	2443
PUT	4304
GET	410
PUT	1056
GET	365
GET	1906
GET	1277
PUT	2041
GET	1330
GET	1005760
PUT	1314
GET	3873
GET	1003543GET	
1009030
GET	1001773
GET	1002560
PUT	1136
GET	1001899
PUT	7420
PUT	1572
PUT	2087
PUT	1774
GET	926
GET	906
GET	3243
PUT	842
PUT	5527
GET	3352
GET	1175
PUT	1133
GET	5573
GET	645
GET	1001454
GET	1002024
GET	1001219
GET	1005338
PUT	1723
GET	516
PUT	1590
PUT	1310
PUT	2005
PUT	2640
GET	1002118
GET	1002544
GET	1305
PUT	538
GET	2243
PUT	348
GET	4505
PUT	1203
GET	1002908
GET	1005638
PUT	415
PUT	5551
GET	456
GET	12726
GET	1001664
GET	1010443
GET	1003397
GET	2984
PUT	494
PUT	2900
GET	10229
GET	7827
GET	1008325
GET	1002679
PUT	325
GET	2346
GET	3917
GET	1000749
GET	1001657
GET	2538
PUT	2757
GET	1000462
